product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id,product_name,product_location,product_description,rack_location,price,stock_quantity,discounts
P0149,1.8,5.5,16.3,cluster_8,H00,H0003,H000312,H00031205,H0003120506,Salt and Pepper Grinder Set,Kitchen,Adjustable salt and pepper grinders for seasoning,"1st Floor, Rack 3",327.0,19,10% discount
P0150,6.0,14.0,14.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905,Baking Sheet,Kitchen,Heavy-duty baking sheet for cookies and roasts,"1st Floor, Rack 3",548.0,10,10% discount
P0151,2.0,15.0,11.5,cluster_0,H01,H0108,H010806,H01080600,H0108060006,Silicone Muffin Cups,Kitchen,Reusable silicone muffin cups for baking,"1st Floor, Rack 3",371.0,9,10% discount
P0152,5.0,19.0,13.0,cluster_0,H00,H0003,H000312,H00031200,H0003120001,Toilet Brush Holder,Bathroom,Stylish toilet brush holder for bathroom cleaning,"2nd Floor, Rack 8",356.0,39,5% discount
P0154,3.0,20.0,12.0,cluster_6,H00,H0001,H000105,H00010500,H0001050017,Shower Organizer,Bathroom,Over-the-shower caddy for personal care items,"2nd Floor, Rack 8",133.0,37,5% discount
P0155,,,,cluster_0,H00,H0004,H000402,H00040212,H0004021201,Humidifier,Bathroom,Ultrasonic humidifier for added moisture in the air,"2nd Floor, Rack 8",649.0,5,5% discount
P0156,5.0,20.0,8.0,cluster_0,H01,H0108,H010806,H01080600,H0108060006,Bathroom Scale,Bathroom,Digital bathroom scale with large display,"2nd Floor, Rack 8",552.0,7,5% discount
P0157,6.0,6.0,15.0,cluster_2,H00,H0003,H000312,H00031200,H0003120002,Vanity Mirror,Bathroom,LED vanity mirror with adjustable brightness,"2nd Floor, Rack 8",146.0,22,5% discount
P0158,15.0,8.0,2.0,cluster_0,H03,H0313,H031305,H03130518,H0313051830,Bathroom Storage Cart,Bathroom,Rolling storage cart for toiletries and supplies,"2nd Floor, Rack 8",351.0,46,5% discount
P0159,20.0,28.0,25.0,cluster_0,H03,H0311,H031108,H03110801,H0311080102,Shower Cap,Bathroom,Waterproof shower cap for keeping hair dry,"2nd Floor, Rack 8",917.0,25,5% discount
P0160,30.0,1.0,21.0,cluster_0,H03,H0313,H031305,H03130520,H0313052008,Cotton Swabs,Bathroom,Box of cotton swabs for personal care,"2nd Floor, Rack 8",316.0,45,5% discount
P0161,7.0,6.0,7.0,cluster_0,H01,H0108,H010808,H01080815,H0108081512,Soap Dispenser,Bathroom,Automatic soap dispenser for hands-free use,"2nd Floor, Rack 8",230.0,42,5% discount
P0162,2.0,8.8,3.6,cluster_0,H01,H0108,H010810,H01081009,H0108100901,Toilet Paper Holder,Bathroom,Wall-mounted toilet paper holder,"2nd Floor, Rack 8",541.0,11,5% discount
P0163,2.0,13.0,4.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003,Drawstring Laundry Bag,Bathroom,Mesh drawstring laundry bag for easy transport,"2nd Floor, Rack 8",987.0,25,5% discount
P0164,4.4,15.8,9.0,cluster_0,H01,H0108,H010807,H01080700,H0108070033,Laundry Stain Remover,Bathroom,Effective stain remover for clothes,"2nd Floor, Rack 8",318.0,12,5% discount
P0165,1.0,13.0,12.0,cluster_3,H00,H0003,H000316,H00031609,H0003160922,Squeegee,Bathroom,Shower squeegee to prevent water streaks,"2nd Floor, Rack 8",705.0,39,5% discount
P0166,5.0,19.0,13.0,cluster_0,H00,H0001,H000102,H00010210,H0001021017,Bathroom Hooks,Bathroom,Multiple hooks for hanging towels and robes,"2nd Floor, Rack 8",785.0,17,5% discount
P0167,20.0,33.5,21.8,cluster_0,H01,H0107,H010702,H01070205,H0107020504,Drain Cleaner,Bathroom,Powerful drain cleaner for unclogging,"2nd Floor, Rack 8",314.0,24,5% discount
P0169,8.0,19.0,12.0,cluster_4,H03,H0313,H031303,H03130303,H0313030301,Dish Rack,Kitchen,Collapsible dish rack for drying dishes,"1st Floor, Rack 3",755.0,32,10% discount
P0170,23.7,11.7,22.3,cluster_0,H03,H0312,H031207,H03120710,H0312071007,Dishwasher Cleaner,Kitchen,Pack of dishwasher cleaning pods for maintenance,"1st Floor, Rack 3",431.0,46,10% discount
P0171,4.5,17.0,4.5,cluster_0,H01,H0108,H010805,H01080500,H0108050032,Kitchen Broom,Utility Room,Heavy-duty broom for indoor sweeping tasks,"1st Floor, Rack 5",669.0,39,10% discount
P0172,28.0,4.5,28.0,cluster_0,H03,H0314,H031402,H03140200,H0314020004,Dust Pan,Utility Room,Large dust pan with rubber edge for efficient cleaning,"1st Floor, Rack 5",670.0,42,10% discount
P0173,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070010,Ladder,Home Improvement,Multi-purpose ladder for home maintenance,"3rd Floor, Rack 4",582.0,11,
P0174,3.0,17.0,9.0,cluster_0,H00,H0004,H000401,H00040105,H0004010506,Drill Set,Home Improvement,Comprehensive drill set for home repairs,"3rd Floor, Rack 4",181.0,43,
P0175,2.0,20.0,10.0,cluster_0,H03,H0313,H031309,H03130900,H0313090044,Screwdriver Set,Home Improvement,Versatile screwdriver set with various heads,"3rd Floor, Rack 4",852.0,35,
P0176,,,,cluster_9,H02,H0210,H021002,H02100200,H0210020008,Utility Knife,Home Improvement,Heavy-duty utility knife with retractable blade,"3rd Floor, Rack 4",389.0,47,
P0177,1.0,12.0,8.0,cluster_0,H01,H0106,H010601,H01060114,H0106011422,Tool Belt,Home Improvement,Adjustable tool belt for carrying tools,"3rd Floor, Rack 4",268.0,3,
P0178,3.5,16.5,4.5,cluster_0,H01,H0108,H010806,H01080613,H0108061306,Light Bulbs,Home Improvement,Energy-efficient LED light bulbs for home use,"3rd Floor, Rack 4",137.0,4,
P0179,7.0,14.0,12.0,cluster_0,H03,H0312,H031207,H03120710,H0312071012,Extension Cord,Home Improvement,Heavy-duty extension cord for appliances,"3rd Floor, Rack 4",632.0,36,
P0180,22.0,59.0,29.0,cluster_0,H03,H0313,H031302,H03130213,H0313021301,Fire Extinguisher,Home Safety,Compact fire extinguisher for kitchen use,"3rd Floor, Rack 7",710.0,7,
P0181,4.1,17.3,10.1,cluster_0,H03,H0315,H031508,H03150809,H0315080935,Emergency Kit,Home Safety,Comprehensive emergency preparedness kit,"3rd Floor, Rack 7",115.0,41,
P0182,5.0,37.0,27.0,cluster_4,H01,H0105,H010501,H01050100,H0105010006,Smoke Detector,Home Safety,Wireless smoke detector with battery backup,"3rd Floor, Rack 7",561.0,48,
P0183,14.2,3.8,11.0,cluster_0,H01,H0106,H010601,H01060111,H0106011112,Carbon Monoxide Detector,Home Safety,Carbon monoxide detector with alarm,"3rd Floor, Rack 7",304.0,27,
P0184,6.0,30.0,10.0,cluster_6,H03,H0313,H031302,H03130205,H0313020501,First Aid Kit,Home Safety,Complete first aid kit for home or travel,"3rd Floor, Rack 7",681.0,30,
P0185,1.0,20.0,30.0,cluster_0,H03,H0313,H031307,H03130705,H0313070501,Household Gloves,Cleaning,Durable rubber gloves for cleaning tasks,"3rd Floor, Rack 8",257.0,8,
P0186,8.0,16.0,8.0,cluster_8,H03,H0312,H031204,H03120409,H0312040900,Compost Bin,Garden,Countertop compost bin for organic waste,"3rd Floor, Rack 3",722.0,50,10% discount
P0187,9.0,25.0,19.0,cluster_0,H03,H0313,H031303,H03130302,H0313030201,Weeder,Garden,Handheld weeder for removing unwanted plants,"3rd Floor, Rack 3",448.0,28,10% discount
P0188,10.0,30.0,25.0,cluster_9,H03,H0311,H031113,H03111305,H0311130527,Garden Kneeler,Garden,Padded garden kneeler and seat for comfort,"3rd Floor, Rack 3",943.0,13,10% discount
P0189,4.0,14.7,11.0,cluster_4,H00,H0004,H000401,H00040105,H0004010501,Turf Sweeper,Garden,Garden turf sweeper for clearing debris,"3rd Floor, Rack 3",224.0,39,10% discount
P0190,6.0,19.0,14.0,cluster_0,H03,H0315,H031508,H03150809,H0315080935,Garden Storage Box,Garden,Weatherproof storage box for outdoor tools,"3rd Floor, Rack 3",407.0,40,10% discount
P0192,15.0,15.0,40.0,cluster_0,H03,H0315,H031508,H03150800,H0315080002,Outdoor Lighting,Garden,Solar-powered outdoor lights for pathways,"3rd Floor, Rack 3",202.0,21,10% discount
P0193,6.0,3.0,6.0,cluster_0,H01,H0108,H010809,H01080913,H0108091317,Deck Chair,Outdoor,Comfortable reclining deck chair for lounging,"3rd Floor, Rack 2",932.0,10,10% discount
P0194,6.0,7.0,9.0,cluster_0,H03,H0312,H031201,H03120100,H0312010002,Firewood Rack,Outdoor,Steel firewood rack for organized storage,"3rd Floor, Rack 2",890.0,22,10% discount
P0195,6.5,7.5,12.0,cluster_0,H00,H0002,H000200,H00020000,H0002000032,Cold Frame,Garden,Mini greenhouse to protect young plants,"3rd Floor, Rack 3",332.0,0,10% discount
P0196,5.0,23.0,20.0,cluster_0,H03,H0314,H031405,H03140500,H0314050003,Garden Statues,Outdoor,Decorative statues for beautifying garden spaces,"3rd Floor, Rack 2",694.0,45,10% discount
P0197,6.0,18.0,10.0,cluster_2,H00,H0004,H000401,H00040105,H0004010517,Planter Boxes,Garden,Wooden planter boxes for growing flowers and vegetables,"3rd Floor, Rack 3",835.0,36,10% discount
P0198,1.0,16.0,3.0,cluster_0,H00,H0002,H000200,H00020009,H0002000926,Bamboo Fencing,Outdoor,Natural bamboo fencing for privacy and decor,"3rd Floor, Rack 2",600.0,20,10% discount
P0199,15.0,24.9,9.3,,H00,H0001,H000104,H00010413,H0001041317,Rain Gauge,Garden,Simple rain gauge for measuring rainfall,"3rd Floor, Rack 3",577.0,25,10% discount
P0200,4.0,13.5,9.0,,H01,H0105,H010503,H01050309,H0105030901,Soil Tester,Garden,Soil pH tester for home gardening,"3rd Floor, Rack 3",318.0,45,10% discount
P0201,3.0,14.5,4.9,cluster_8,H01,H0108,H010807,H01080709,H0108070906,Hand Saw,Garden,Hand saw for pruning branches and trees,"3rd Floor, Rack 3",184.0,35,10% discount
P0202,1.0,1.0,1.0,cluster_0,H00,H0000,H000005,H00000505,H0000050501,Garden Fork,Garden,Heavy-duty garden fork for digging and breaking soil,"3rd Floor, Rack 3",907.0,22,10% discount
P0203,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040310,H0004031022,Garden Hoe,Garden,Durable hoe for shaping soil and weeding,"3rd Floor, Rack 3",910.0,0,10% discount
P0204,1.6,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051832,Bread Maker,Kitchen,Automatic bread maker with various settings,"1st Floor, Rack 3",670.0,50,10% discount
P0205,4.0,17.5,10.0,cluster_0,H03,H0315,H031502,H03150200,H0315020002,Ice Cream Scoop,Kitchen,Ergonomic ice cream scoop for easy serving,"1st Floor, Rack 3",405.0,39,10% discount
P0206,6.0,12.0,6.0,cluster_8,H03,H0314,H031408,H03140801,H0314080102,Cupcake Carrier,Kitchen,Multi-tier cupcake carrier for transporting treats,"1st Floor, Rack 3",414.0,14,10% discount
P0208,1.0,1.0,1.0,cluster_0,H03,H0313,H031302,H03130215,H0313021508,Measuring Spoons,Kitchen,Stainless steel measuring spoons for accuracy,"1st Floor, Rack 3",753.0,20,10% discount
P0209,6.0,30.4,20.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002,Double Boiler,Kitchen,Stainless steel double boiler for melting chocolate,"1st Floor, Rack 3",907.0,46,10% discount
P0210,5.2,33.5,12.0,cluster_7,H03,H0312,H031205,H03120504,H0312050405,Storage Bags,Kitchen,Heavy-duty zipper storage bags for food preservation,"1st Floor, Rack 3",898.0,8,10% discount
P0211,14.0,7.2,15.7,cluster_0,H01,H0107,H010700,H01070009,H0107000901,Pizza Stone,Kitchen,Authentic pizza stone for perfect crusts,"1st Floor, Rack 3",802.0,8,10% discount
P0212,6.5,12.0,18.5,cluster_0,H00,H0002,H000200,H00020000,H0002000022,Dishwasher Magnet,Bathroom,Magnetic clean/dirty sign for dishwashing,"2nd Floor, Rack 8",678.0,9,5% discount
P0213,1.5,24.0,7.0,cluster_0,H03,H0313,H031305,H03130518,H0313051826,Cloth Napkins,Dining Room,Set of reusable cloth napkins for dinner parties,"1st Floor, Rack 8",176.0,25,15% discount
P0214,,,,cluster_0,H03,H0313,H031305,H03130520,H0313052002,Carpet Freshener,Bathroom,Powder carpet freshener for odors,"2nd Floor, Rack 8",245.0,40,5% discount
P0215,3.0,12.0,10.0,cluster_0,H01,H0107,H010702,H01070211,H0107021107,Turkey Baster,Kitchen,Professional turkey baster for juicy meats,"1st Floor, Rack 3",909.0,34,10% discount
P0216,1.0,1.0,1.0,cluster_0,H01,H0108,H010809,H01080900,H0108090001,Milk Frother,Kitchen,Electric milk frother for coffee drinks,"1st Floor, Rack 3",646.0,24,10% discount
P0217,8.0,6.0,14.0,cluster_0,H01,H0107,H010702,H01070212,H0107021212,Spaghetti Measure,Kitchen,Measuring tool for portioning spaghetti,"1st Floor, Rack 3",108.0,25,10% discount
P0218,7.5,15.0,13.0,cluster_6,H01,H0108,H010806,H01080615,H0108061501,Whisk,Kitchen,Stainless steel whisk for mixing ingredients,"1st Floor, Rack 3",191.0,10,10% discount
P0219,8.7,12.5,8.7,cluster_9,H00,H0002,H000201,H00020110,H0002011001,Tupperware Set,Kitchen,Food storage container set for meal prep,"1st Floor, Rack 3",697.0,37,10% discount
P0220,5.0,17.0,13.0,cluster_4,H00,H0001,H000102,H00010210,H0001021012,Drain Stopper,Bathroom,Suction drain stopper for tub or sink,"2nd Floor, Rack 8",105.0,1,5% discount
P0221,2.7,12.0,6.0,cluster_9,H01,H0108,H010801,H01080110,H0108011006,Window Shades,Home Decor,Light-blocking window shades for privacy,"2nd Floor, Rack 6",245.0,6,50% discount
P0222,14.5,20.5,18.0,cluster_0,H03,H0313,H031302,H03130209,H0313020905,Yoga Block,Exercise,Supportive yoga block for enhancing poses,"2nd Floor, Rack 10",594.0,17,5% discount
P0223,5.3,23.7,11.1,cluster_0,H01,H0105,H010503,H01050309,H0105030901,Resistance Bands,Exercise,Set of resistance bands for home workouts,"2nd Floor, Rack 10",723.0,26,5% discount
P0224,13.0,19.0,15.0,cluster_0,H03,H0311,H031108,H03110801,H0311080103,Foam Roller,Exercise,High-density foam roller for muscle relief,"2nd Floor, Rack 10",687.0,33,5% discount
P0225,4.0,8.0,4.0,cluster_0,H01,H0108,H010806,H01080616,H0108061601,Under-bed Storage,Bedroom,Storage bins designed for under-bed use,"2nd Floor, Rack 7",302.0,26,50% discount
P0226,6.5,7.0,6.5,cluster_0,H01,H0107,H010702,H01070210,H0107021003,Pillow Organizer,Bedroom,Handy organizer for keeping pillows tidy,"2nd Floor, Rack 7",741.0,16,50% discount
P0227,2.0,27.0,21.0,cluster_0,H03,H0313,H031307,H03130700,H0313070001,Baby Gate,Nursery,Safety baby gate for securing spaces,"2nd Floor, Rack 3",314.0,42,30% discount
P0228,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090003,Pacifier Holder,Nursery,Clip-on pacifier holder for baby safety,"2nd Floor, Rack 3",393.0,43,30% discount
P0229,5.6,8.4,5.6,cluster_0,H00,H0001,H000105,H00010500,H0001050017,Diaper Bag,Nursery,Multiple-pocket diaper bag for convenience,"2nd Floor, Rack 3",772.0,50,30% discount
P0230,2.0,36.0,19.5,,H01,H0107,H010701,H01070109,H0107010906,High Chair,Nursery,Adjustable high chair for feeding babies,"2nd Floor, Rack 3",685.0,23,30% discount
P0231,3.7,18.9,7.7,cluster_0,H01,H0107,H010702,H01070200,H0107020004,Playpen,Nursery,Portable playpen for child safety,"2nd Floor, Rack 3",864.0,24,30% discount
P0232,2.3,17.0,7.3,cluster_0,H03,H0315,H031504,H03150411,H0315041140,Stair Treads,Bathroom,Non-slip stair treads for safety,"2nd Floor, Rack 8",692.0,6,5% discount
P0233,1.0,56.0,30.0,cluster_0,H03,H0317,H031702,H03170215,H0317021509,Car Seat Cover,Baby,Protective cover for car seats,"2nd Floor, Rack 4",611.0,5,Buy one get one free
P0234,10.9,35.1,23.2,cluster_0,H03,H0313,H031302,H03130205,H0313020501,Pest Repellent,Home Care,Natural pest repellent for indoor use,"3rd Floor, Rack 9",184.0,23,
P0235,15.0,31.2,11.8,,H00,H0001,H000104,H00010413,H0001041317,Picnic Basket,Outdoor,Insulated picnic basket for meals on the go,"3rd Floor, Rack 2",431.0,32,10% discount
P0237,24.0,77.0,2.0,cluster_0,H03,H0317,H031702,H03170212,H0317021204,Ice Bucket,Outdoor,Insulated ice bucket for entertaining,"3rd Floor, Rack 2",339.0,48,10% discount
P0238,6.0,20.0,6.0,cluster_3,H00,H0000,H000003,H00000300,H0000030001,Foil and Wrap Dispenser,Kitchen,Wall-mounted dispenser for foil and plastic wrap,"1st Floor, Rack 3",320.0,28,10% discount
P0239,4.0,18.0,14.0,cluster_0,H00,H0002,H000201,H00020100,H0002010006,Thank You Cards,Personal Item,Assorted thank you cards for gifting,"2nd Floor, Rack 9",976.0,42,5% discount
P0240,9.4,14.0,8.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002,Food Processor,Kitchen,Compact food processor for chopping and mixing,"1st Floor, Rack 3",454.0,21,10% discount
P0241,5.0,13.8,5.0,cluster_9,H00,H0001,H000105,H00010500,H0001050001,Ice Cream Maker,Kitchen,Home ice cream maker for creamy desserts,"1st Floor, Rack 3",903.0,25,10% discount
P0242,4.3,17.5,4.3,cluster_0,H01,H0108,H010805,H01080500,H0108050033,Electric Skillet,Kitchen,Versatile electric skillet for cooking meals,"1st Floor, Rack 3",668.0,27,10% discount
P0243,1.0,1.0,1.0,cluster_0,H00,H0004,H000403,H00040310,H0004031012,Popcorn Maker,Kitchen,Quick and easy popcorn maker for movie nights,"1st Floor, Rack 3",815.0,49,10% discount
P0245,1.5,7.6,16.5,cluster_4,H00,H0003,H000312,H00031200,H0003120001,Waffle Maker,Kitchen,Non-stick waffle maker for delicious breakfasts,"1st Floor, Rack 3",552.0,20,10% discount
P0246,1.6,21.0,14.0,cluster_0,H03,H0313,H031307,H03130700,H0313070009,Pasta Maker,Kitchen,Manual pasta maker for homemade noodles,"1st Floor, Rack 3",619.0,48,10% discount
P0247,5.0,28.0,15.0,cluster_4,H03,H0313,H031303,H03130303,H0313030301,Food Steamer,Kitchen,Electric food steamer for healthy cooking,"1st Floor, Rack 3",543.0,6,10% discount
P0249,7.7,25.5,7.7,cluster_8,H00,H0000,H000004,H00000405,H0000040501,Juicer,Kitchen,Fresh juice extractor for fruits and vegetables,"1st Floor, Rack 3",276.0,16,10% discount
P0250,4.0,16.3,10.8,,H01,H0106,H010600,H01060013,H0106001333,Deep Fryer,Kitchen,Countertop deep fryer for crispy meals,"1st Floor, Rack 3",750.0,19,10% discount
P0251,8.0,18.0,13.0,cluster_0,H01,H0107,H010702,H01070211,H0107021101,Pizza Oven,Kitchen,Compact pizza oven for perfect baking,"1st Floor, Rack 3",353.0,40,10% discount
P0252,2.0,14.0,7.0,cluster_8,H03,H0313,H031302,H03130200,H0313020001,Electric Griddle,Kitchen,Flat electric griddle for pancakes and eggs,"1st Floor, Rack 3",122.0,48,10% discount
P0253,4.0,20.0,6.0,,H01,H0108,H010807,H01080710,H0108071022,Countertop Oven,Kitchen,Versatile countertop oven for baking and broiling,"1st Floor, Rack 3",681.0,19,10% discount
P0254,3.0,5.0,17.0,cluster_0,H01,H0108,H010801,H01080110,H0108011006,Slow Cooker,Kitchen,Programmable slow cooker for hassle-free meals,"1st Floor, Rack 3",259.0,21,10% discount
P0255,6.0,9.0,7.5,cluster_6,H00,H0002,H000206,H00020610,H0002061001,Cup Sealer,Kitchen,Automatic cup sealer for drinks and sauces,"1st Floor, Rack 3",946.0,27,10% discount
P0256,5.8,21.1,5.8,cluster_0,H01,H0108,H010807,H01080709,H0108070901,Salad Dressing Shaker,Kitchen,Multi-use salad dressing shaker for easy mixing,"1st Floor, Rack 3",959.0,39,10% discount
P0257,6.0,7.0,13.0,cluster_0,H00,H0002,H000208,H00020800,H0002080036,Meat Grinder,Kitchen,Electric meat grinder for homemade sausages,"1st Floor, Rack 3",923.0,48,10% discount
P0258,6.0,19.0,13.0,cluster_0,H01,H0107,H010702,H01070210,H0107021002,Can Opener,Kitchen,Ergonomic can opener for easy use,"1st Floor, Rack 3",433.0,6,10% discount
P0259,,,,cluster_9,H00,H0004,H000402,H00040212,H0004021202,Food Dehydrator,Kitchen,Digital food dehydrator for healthy snacks,"1st Floor, Rack 3",114.0,0,10% discount
P0260,4.5,16.0,8.0,cluster_0,H00,H0002,H000206,H00020600,H0002060001,Soda Maker,Kitchen,Home soda maker for fizzy drinks,"1st Floor, Rack 3",935.0,31,10% discount
P0261,2.0,21.5,13.5,cluster_0,H00,H0003,H000314,H00031409,H0003140912,Bento Box,Kitchen,Multi-compartment bento box for lunches,"1st Floor, Rack 3",485.0,12,10% discount
P0263,25.0,18.0,2.0,cluster_2,H03,H0311,H031110,H03111000,H0311100002,Wine Rack,Dining Room,Stylish wine rack for home decor and storage,"1st Floor, Rack 8",970.0,29,15% discount
P0264,4.0,4.0,15.0,cluster_0,H03,H0313,H031305,H03130515,H0313051514,Sugar Canister,Kitchen,Glass sugar canister with airtight lid,"1st Floor, Rack 3",967.0,22,10% discount
P0265,6.5,11.5,6.5,cluster_0,H00,H0000,H000004,H00000405,H0000040501,Coffee Grinder,Kitchen,Manual coffee grinder for fresh coffee grounds,"1st Floor, Rack 3",868.0,50,10% discount
P0266,10.0,23.0,25.5,cluster_0,H01,H0108,H010805,H01080509,H0108050906,Spice Rack,Kitchen,Rotating spice rack with assorted spices,"1st Floor, Rack 3",365.0,18,10% discount
P0267,15.0,5.0,25.0,cluster_0,H03,H0312,H031205,H03120502,H0312050214,Manual Juicer,Kitchen,Hand-held manual juicer for citrus fruits,"1st Floor, Rack 3",447.0,31,10% discount
P0268,4.5,13.0,9.0,cluster_3,H00,H0001,H000101,H00010105,H0001010501,Toaster Oven,Kitchen,Countertop toaster oven for versatile cooking,"1st Floor, Rack 3",866.0,29,10% discount
P0269,6.0,23.0,18.0,cluster_0,H00,H0002,H000202,H00020200,H0002020032,Mixing Spoon Set,Kitchen,Silicone spoon set for cooking and baking,"1st Floor, Rack 3",385.0,28,10% discount
P0270,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090101,Cutlery Tray,Kitchen,Expandable cutlery tray for kitchen drawers,"1st Floor, Rack 3",253.0,48,10% discount
P0271,24.0,1.5,38.0,cluster_5,H03,H0312,H031209,H03120916,H0312091618,Tea Kettle,Kitchen,Stainless steel tea kettle for boiling water,"1st Floor, Rack 3",601.0,44,10% discount
P0272,7.4,19.5,12.9,cluster_0,H00,H0001,H000102,H00010210,H0001021017,Knife Sharpener,Kitchen,Handheld knife sharpener for edge maintenance,"1st Floor, Rack 3",943.0,28,10% discount
P0274,3.5,12.0,50.0,cluster_0,H03,H0315,H031512,H03151215,H0315121511,Bottle Warmer,Baby,Electric bottle warmer for baby feeding,"2nd Floor, Rack 4",726.0,29,Buy one get one free
P0275,3.0,3.0,12.0,cluster_0,H00,H0003,H000315,H00031500,H0003150003,Pacifier Sterilizer,Baby,UV sterilizer for baby pacifiers,"2nd Floor, Rack 4",613.0,15,Buy one get one free
P0276,5.0,20.2,8.0,cluster_6,H01,H0108,H010807,H01080710,H0108071022,Baby Wipes Warmer,Baby,Heated baby wipes dispenser for nighttime changes,"2nd Floor, Rack 4",187.0,39,Buy one get one free
P0277,6.7,24.0,7.5,cluster_8,H00,H0000,H000004,H00000400,H0000040001,Diaper Pail,Baby,Odor-blocking diaper pail for baby care,"2nd Floor, Rack 4",654.0,18,Buy one get one free
P0278,1.0,1.0,1.0,cluster_0,H00,H0001,H000100,H00010000,H0001000033,Baby Bath Tub,Baby,Compact baby bathtub with support,"2nd Floor, Rack 4",991.0,17,Buy one get one free
P0279,5.2,15.0,7.3,cluster_2,H00,H0002,H000202,H00020200,H0002020006,Breast Pump,Baby,Electric breast pump for breastfeeding mothers,"2nd Floor, Rack 4",226.0,0,Buy one get one free
P0280,6.0,19.0,13.0,cluster_4,H03,H0313,H031303,H03130302,H0313030201,Baby Safety Kit,Baby,Complete baby safety kit for home usage,"2nd Floor, Rack 4",566.0,13,Buy one get one free
P0281,6.0,19.0,6.0,cluster_0,H00,H0002,H000208,H00020800,H0002080039,Teething Rings,Baby,Chilled teething rings for soothing gums,"2nd Floor, Rack 4",890.0,50,Buy one get one free
P0282,10.0,11.0,11.0,cluster_0,H03,H0312,H031206,H03120610,H0312061041,Potato Masher,Kitchen,Heavy-duty potato masher for smooth mashed potatoes,"1st Floor, Rack 3",767.0,46,10% discount
P0283,1.5,12.0,17.0,cluster_0,H01,H0106,H010601,H01060114,H0106011422,Grater Set,Kitchen,Multi-sized grater set for cheese and vegetables,"1st Floor, Rack 3",727.0,49,10% discount
P0284,5.0,28.0,11.0,cluster_0,H00,H0002,H000200,H00020009,H0002000901,Whisker Fork,Kitchen,Specialty whisk for aerating foods,"1st Floor, Rack 3",732.0,1,10% discount
P0285,3.5,21.0,9.0,cluster_0,H03,H0315,H031508,H03150809,H0315080935,Butter Dish,Kitchen,Stylish butter dish with lid for storage,"1st Floor, Rack 3",424.0,27,10% discount
P0286,4.5,13.0,9.0,cluster_3,H00,H0001,H000101,H00010105,H0001010501,Apron,Kitchen,Adjustable apron with pockets for chefs,"1st Floor, Rack 3",364.0,48,10% discount
P0287,7.3,10.6,7.3,cluster_0,H00,H0002,H000201,H00020100,H0002010012,Casserole Dish,Kitchen,Oven-safe casserole dish for baked meals,"1st Floor, Rack 3",828.0,49,10% discount
P0289,1.0,1.0,1.0,cluster_0,H03,H0315,H031502,H03150200,H0315020035,Chafing Dishes,Kitchen,Set of chafing dishes for serving food at parties,"1st Floor, Rack 3",829.0,29,10% discount
P0290,5.0,19.0,13.0,cluster_0,H00,H0001,H000102,H00010210,H0001021017,Serving Tray,Kitchen,Decorative serving tray for entertaining guests,"1st Floor, Rack 3",880.0,37,10% discount
P0291,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090002,Butterfly Peeler,Kitchen,Easy-pull vegetable peeler for convenience,"1st Floor, Rack 3",922.0,50,10% discount
P0292,8.8,15.1,8.8,,H00,H0002,H000201,H00020110,H0002011006,Hot Pad,Kitchen,Heat-resistant hot pads for cookware,"1st Floor, Rack 3",560.0,3,10% discount
P0293,3.0,23.5,17.0,cluster_0,H03,H0311,H031110,H03111000,H0311100003,Polishing Cloth,Household Supplies,Ineffective polishing cloth for dust removal,"3rd Floor, Rack 10",551.0,0,
P0294,9.0,31.0,9.0,cluster_6,H00,H0000,H000005,H00000500,H0000050001,Shower Bench,Bathroom,Sturdy shower bench for bathing convenience,"2nd Floor, Rack 8",818.0,7,5% discount
P0295,5.0,28.0,16.0,cluster_0,H03,H0311,H031108,H03110805,H0311080503,Bathroom Shelf,Bathroom,Wall-mounted shelf for organizing toiletries,"2nd Floor, Rack 8",685.0,28,5% discount
P0296,3.5,3.0,14.0,cluster_3,H00,H0003,H000312,H00031209,H0003120906,Mouthwash Dispenser,Bathroom,Automatic mouthwash dispenser for fresh breath,"2nd Floor, Rack 8",732.0,38,5% discount
P0297,11.5,18.0,11.5,cluster_0,H00,H0002,H000201,H00020110,H0002011006,Cotton Ball Dispenser,Bathroom,Stylish dispenser for cotton balls,"2nd Floor, Rack 8",816.0,2,5% discount
P0298,,,,cluster_9,H02,H0210,H021002,H02100200,H0210020008,Hair Styling Station,Bathroom,Wall-mounted organizer for hair tools,"2nd Floor, Rack 8",901.0,31,5% discount
P0299,11.0,5.0,6.0,cluster_0,H03,H0312,H031207,H03120710,H0312071009,Non-Slip Bathmat,Bathroom,Soft non-slip bathmat for bathroom safety,"2nd Floor, Rack 8",404.0,9,5% discount
